Pull ID,Card ID,Card Name,Deck,Element,Querent,Date
bd20,3wu,Empress,Wild Unknown,Earth,self,2020-11-14 00:00:00
bd20,9wu,Hermit,Wild Unknown,Earth,self,2020-11-14 00:00:00
bd20,5wu,Hierophant,Wild Unknown,Earth,self,2020-11-14 00:00:00
bd20,13wu,Death,Wild Unknown,Water,self,2020-11-14 00:00:00
bd20,w5wu,5 of Wands,Wild Unknown,Fire,self,2020-11-14 00:00:00
bd20,w14wu,King of Wands,Wild Unknown,Fire,self,2020-11-14 00:00:00
bd20,w7wu,7 of Wands,Wild Unknown,Fire,self,2020-11-14 00:00:00
bd20,s2wu,2 of Swords,Wild Unknown,Air,self,2020-11-14 00:00:00
bd20,c7wu,7 of Cups,Wild Unknown,Water,self,2020-11-14 00:00:00
bd20,w11wu,Page of Wands,Wild Unknown,Fire,self,2020-11-14 00:00:00
bd20,c9wu,9 of Cups,Wild Unknown,Water,self,2020-11-14 00:00:00
bd20,w3wu,3 of Wands,Wild Unknown,Fire,self,2020-11-14 00:00:00
bd20,c14wu,King of Cups,Wild Unknown,Water,self,2020-11-14 00:00:00
mm112220,p4wu,4 of Pentacles,Wild Unknown,Earth,self,2020-11-22 00:00:00
mm112220,p14wu,King of Pentacles,Wild Unknown,Earth,self,2020-11-22 00:00:00
spr12520,21wu,World,Wild Unknown,Earth,self,2020-12-05 00:00:00
spr12520,3wu,Empress,Wild Unknown,Earth,self,2020-12-05 00:00:00
spr12520,w11wu,Page of Wands,Wild Unknown,Fire,self,2020-12-05 00:00:00
spr12520,p5wu,5 of Pentacles,Wild Unknown,Earth,self,2020-12-05 00:00:00
spr12520,w2wu,2 of Wands,Wild Unknown,Fire,self,2020-12-05 00:00:00
spr122120,4wu,Emperor,Wild Unknown,Fire,self,2020-12-21 00:00:00
spr122120,s4wu,4 of Swords,Wild Unknown,Air,self,2020-12-21 00:00:00
spr122120,21wu,World,Wild Unknown,Earth,self,2020-12-21 00:00:00
